E_ID,Events,is_Event_Given,Device Context,Initial_Probability_1,Residual_Probability_1,DSH_ID,SDA_ID
1,Incorrect/incomplete priming processes,,1,3,2,1,1
1,User’s motions cause the delivery path to be loose or broken,,1,5,3,2,1
1,"Broken, loose, or unsealed delivery path",,1,5,3,2,1
1,Pump or pump components are unable to release gas or air,,1,5,3,3,1
1,Cold insulin is loaded and then warms up to form air bubbles,,1,1,1,4,1
1,Pump is connected with incompatible infusion sets,,1,3,2,3,1
2,Valves in the delivery path are broken,,1,5,3,5,51
2,Air pressure within the pump is much lower/higher than ambient air pressure,,1,2,1,3,26
2,"Pump is positioned much higher than the infusion site, causing unintentional drug flow",,1,1,1,3,26
2,"Delivery path is damaged, creating a vent on the path that allows unintentional gravity flow",,1,1,1,2,26
2,Large temperature changes causing a mismatch between drug reservoir volume change and insulin density change,,1,2,1,4,2
3,Siphon effect due to the pump being positioned much lower than the infusion site,,1,1,1,3,3
3,"Delivery path is damaged, creating a vent on the path that diverts an intentional drug flow from reaching the user",,1,4,2,2,3
3,Pump delivery mechanism runs opposite to the expected direction,,1,1,1,3,3
3,Air pressure within the pump is much lower/higher than ambient air pressure,,1,2,1,3,3
4,User’s motions cause the pump or the attached infusion set to be disconnected from the user,,1,4,2,3,26
4,Loose connection between parts of the delivery path,,1,2,1,2,26
4,"Infusion set is not applied to the user correctly or is caught on the infusion set adhesives or tapes, causing it to be disconnected from the user",,1,4,2,24,26
5,User forgets about previously received boluses and requests additional unnecessary boluses without consulting the bolus history records,,0,5,3,6,9999
5,"Bolus history is corrupted, making the user unable to track previous boluses",,0,4,2,6,9999
5,User requests a meal bolus but does not eat,,0,4,2,12,9999
6,"Delivery path obstruction, e.g., kinked tubes",,4,3,1,2,4
6,Chemical precipitation inside the delivery path,,4,3,2,2,4
7,Algorithmic errors,,1,2,1,7,5
7,Pump delivery mechanism does not operate as instructed,,1,3,2,3,6
8,User does not follow instructions to disconnect the pump appropriately,,0,4,2,8,9999
8,Pump is disconnected without the user’s awareness,,1,4,2,8,26
8,Loose connection between parts of the delivery path,,1,1,1,2,26
8,Broken drug reservoir,,1,5,2,4,51
8,Occlusion during insulin delivery causes high pressure within the delivery path,,1,3,1,2,26
9,,0,1,1,1,32,7
10,Occlusion without the user’s awareness,,4,4,2,3,4
10,Air pressure within the pump is much lower/higher than ambient air pressure,,0,2,1,3,9999
10,"Outside temperature is out of safe range or fluctuating inadvertently, causing the pump to deliver insulin inaccurately or behave erratically",,1,3,1,3,10
10,"Outside air pressure is out of safe range or fluctuating inadvertently, causing the pump to deliver insulin inaccurately or behave erratically",,1,1,1,3,9
10,"Electromagnetic interference due to internal or external electro magnetic disturbances, causing the pump to deliver insulin inaccurately or behave erratically",,1,1,1,3,11
11,,0,1,1,1,32,12
12,Drug reservoir compartment is broken or opened,,1,5,3,4,51
12,User’s motions cause the reservoir to be disconnected,,0,4,2,4,9999
13,"Software instructs to resume a previous bolus after suspension, or after the battery is replaced, causing an unexpected bolus",,1,2,1,9,13
13,"Software instructs pump to finish paused basal delivery after a long suspension/interruption, causing a huge bolus to be flushed to the user",,1,4,2,9,13
13,User is connected to the pump while it is being refilled or primed,,1,4,2,1,14
13,User is connected to the pump while freeing clogged infusion tubes or detaching the reservoir,,1,4,2,10,14
13,Releasing occlusion causes unexpected boluses,,4,1,1,3,4
13,Large temperature changes causing a mismatch between the drug reservoir volume change and the insulin density change,,1,2,1,4,2
13,"Pump fails to shut off or stop insulin delivery as commanded, and the user is not aware of this",,1,4,2,3,15
