SDA_ID,SDA,Imp_Manifest,Assurance_SDA
1,"An air-in-line alarm shall be triggered within a maximum delay time of x seconds if air bubbles larger than y μL are detected, and all insulin administrations shall be stopped.",,
2,The pump shall be able to operate as intended within a temperature range of x °C to y °C.,,
3,"During normal use and single fault conditions of the pump, continuous reverse delivery shall not be possible. A single fault condition refers to a situation where a single abnormal external condition arises or one protection means against an adverse health consequence is defective.",Sec. 1.7 of Reverse Flow Protocol.,
4,The pump shall have an occlusion sensor.,,
5,The combined flow rate (basal rate + normal bolus rate + extended bolus rate) shall be limited by the maximum flow rate at which the pump can function correctly.,,
6,The pump shall start a valid extended bolus at the time the user specifies. The extended bolus delivery shall be distributed evenly over its duration.,Sec. 1.3 of Bolus Calculation and Administration Protocol.,
7,"If the insulin remaining in the drug reservoir is 0 units (within a tolerance of ±x μL) and an infusion is in progress, an empty reservoir alarm shall be issued.",,
8,"If the insulin remaining in the drug reservoir is less than x units (within a tolerance of ±y μL) and an infusion is in progress, a low reservoir alert shall be issued.",,
9,The pump should be able to withstand and operate as intended under atmospheric pressure ranging from x to y mm Hg.,,
10,The pump should be able to operate as intended at relative humidity ranging from x% to y% (nonconsidering).,,
11,The pump shall be able to operate as intended without alarm in the electromagnetic environments of intended use without causing interference in other equipment.,Sec. 6.1 of Operational conditions Protocol.,IEC 61000-4-2/CISPR 11 Group 1 Class B/FCC Class B (emissions limits)
12,The average flow rate in any continuous x-minute period shall remain accurate within ±y% of the programmed rate.,,
13,"When the pump is in suspension mode, insulin deliveries shall be prohibited. Any incomplete bolus delivery shall be stopped and shall not be resumed after the suspension.",Sec. 1.8 of Pump Suspension Protocol,
14,The pump shall advise the user to disconnect the infusion set from the patient prior to a prime process.,"Sec. 3.2 of Alarm, warning, and reminder",
15,"The pump and its accessories shall be designed to maintain a failsafe state in the presence of a single fault condition that results in the inability of the pump to ensure the integrity of the pump’s operation. When in a failsafe state, the pump shall neither deliver insulin nor generate energy or substances that could affect the user’s safety.",Sec. 3.1 of Alarms Protocol,
16,An alarm condition shall be indicated through both auditory/tactile and visual signals.,,
17,"Upon being powered on, the pump shall undergo a power-on self-test (POST).",,
18,"While calculating a food bolus for a meal, the pump shall require the user to configure the number of digestible carbohydrates or all types of ingredients that are related to deciding food-bolus dosage and their amounts projected for the meal intake.",Sec. 1.3 of Bolus Calculation and Administration Protocol.,
19,"If the pump incorporates a food database to support the calculation of intake carbohydrates, the information contained in the database shall either be verified and approved by qualified nutritionists or be configured and confirmed by the user.",Sec. 1.3 of Bolus Calculation and Administration Protocol.,
20,The pump shall use the food factor currently in effect to calculate a food bolus. The pump shall display the factor currently in effect through the user interface.,Sec. 1.3 of Bolus Calculation and Administration Protocol.,
21,The pump shall allow the user to view and modify the dosage of a food bolus that it suggests and to configure the distribution of the bolus between normal and/or extended boluses.,Sec. 1.3 of Bolus Calculation and Administration Protocol.,
22,"Clearing, changing or resetting the pump settings shall require the user’s confirmation.",Sec. 1.3 of User Input Protocol.,
23,"The pump shall have a watchdog, or equivalent safety mechanisms, which are capable of detecting unrecoverable software failures that prevent the pump from meeting its expected runtime performance.",,
24,Alarms should clearly indicate the specific condition causing the alarm.,Sec. 3.1 of Alarms,
