S_ID,Hazardous_Situation,Primary_Cause,E_ID
2.1,1.2,Air in line,1
2.2,1.1,Free Flow,2
2.3,1.2,Reverse Flow,3
2.4,1.2,Pump is disconnected from the infusion set without the user’s awareness,4
2.5,1.1,Excessive bolus administration due to too many bolus requests from the user,5
2.6,1.2,Occlusion without the user’s awareness,6
2.7,1.1,Dosage of bolus is delivered unevenly over its specified duration,7
2.7,1.2,Dosage of bolus is delivered unevenly over its specified duration,7
2.8,1.2,Insulin leakage,8
2.8,3.1,Insulin leakage,8
2.8,3.2,Insulin leakage,8
2.9,1.2,Drug reservoir becomes empty during insulin delivery without the user’s awareness,9
2.1,1.2,Insulin level in the drug reservoir becomes low during insulin delivery without the user’s awareness,109
2.11,1.1,Actual flow rate does not match the programmed infusion rate,10
2.11,1.2,Actual flow rate does not match the programmed infusion rate,10
2.12,1.1,Excessive flow rate fluctuation,11
2.12,1.2,Excessive flow rate fluctuation,11
2.13,1.2,A replaceable drug reservoir is detached during normal pump use,12
2.14,1.1,Unexpected delivery of insulin,13
2.15,1.2,Pump stops delivering insulin without the user’s awareness,14
2.16,1.1,Pump hardware is not initialized properly,15
2.16,1.2,Pump hardware is not initialized properly,15
2.16,1.3,Pump hardware is not initialized properly,15
3.1.1,1.1,Incorrect meal bolus is recommended by the bolus calculator,16
3.1.2,1.2,Incorrect meal bolus is recommended by the bolus calculator,16
3.1.2,1.1,Incorrect correction bolus is recommended by the bolus calculator,17
3.1.2,1.2,Incorrect correction bolus is recommended by the bolus calculator,17
3.1.3,1.1,Inappropriate or incorrect calculation of IOB,18
3.1.3,1.2,Inappropriate or incorrect calculation of IOB,18
3.2,1.1,Pump unexpectedly restores to default factory settings without the user’s awareness,19
3.2,1.2,Pump unexpectedly restores to default factory settings without the user’s awareness,19
3.3,1.1,Pump controller fails to monitor the status of the pump delivery mechanism,20
3.3,1.2,Pump controller fails to monitor the status of the pump delivery mechanism,20
3.4,1.1,Pump controller fails to detect mechanism failures of pump delivery,20
3.4,1.2,Pump controller fails to detect mechanism failures of pump delivery,20
3.5,1.1,Pump annunciates notifications of different importance to the user with similar signals,21
3.5,1.2,Pump annunciates notifications of different importance to the user with similar signals,21
3.6,1.1,Pump presents inappropriate or inaccurate prompts to the user,22
3.6,1.2,Pump presents inappropriate or inaccurate prompts to the user,22
3.6,1.3,Pump presents inappropriate or inaccurate prompts to the user,22
3.7,1.1,Incorrect critical data.,23
3.7,1.2,Incorrect critical data.,23
3.7,1.3,Incorrect critical data.,23
3.8,1.1,Corrupted infusion commands,24
3.8,1.2,Corrupted infusion commands,24
3.9,1.1,Incorrect or inappropriate basal profiles are programmed/activated,25
3.9,1.2,Incorrect or inappropriate basal profiles are programmed/activated,25
3.9,1.3,Incorrect or inappropriate basal profiles are programmed/activated,25
3.1,1.1,Unexpected software execution,26
3.1,1.2,Unexpected software execution,26
3.11,1.1,Data logging/retrieval failure,27
3.11,1.2,Data logging/retrieval failure,27
3.12,1.1,Inappropriate setting of alarm priorities,28
3.12,1.2,Inappropriate setting of alarm priorities,28
3.13,1.1,Pump fails to auto-stop upon detecting a critical failing condition that requires it to stop,29
3.13,1.2,Pump fails to auto-stop upon detecting a critical failing condition that requires it to stop,29
3.14,1.1,Inadequate or overcomplicated operating instructions,30
3.14,1.2,Inadequate or overcomplicated operating instructions,30
3.14,1.3,Inadequate or overcomplicated operating instructions,30
3.15,1.1,Software not initialized to appropriate values,31
3.15,1.2,Software not initialized to appropriate values,31
3.15,1.3,Software not initialized to appropriate values,31
3.16,1.1,Nuisance alarming,32
3.16,1.2,Nuisance alarming,32
3.16,1.3,Nuisance alarming,32
3.17,1.1,Pump unexpectedly resets to default pump settings without the user’s awareness,33
3.17,1.2,Pump unexpectedly resets to default pump settings without the user’s awareness,33
4.1.1,1.1,Central processing unit failure,34
4.1.1,1.2,Central processing unit failure,34
4.1.2,1.1,"Random-access memory or nonvolatile memory failure, including failing to write to memory, failing to read from memory, and memory data corruptions",35
4.1.2,1.2,"Random-access memory or nonvolatile memory failure, including failing to write to memory, failing to read from memory, and memory data corruptions",35
4.1.3,1.1,Read-only memory or external flash memory failure,36
4.1.3,1.2,Read-only memory or external flash memory failure,36
4.2.1,1.1,Pump delivery mechanism does not operate as instructed,37
4.2.1,1.2,Pump delivery mechanism does not operate as instructed,37
4.2.2,1.2,Pump delivery mechanism fails and does not stroke,38
4.2.3,1.1,Fail to stop the motor of the pump when a fault condition occurs,39
4.2.3,1.2,Fail to stop the motor of the pump when a fault condition occurs,39
4.2.4,1.1,Fatigued/worn/broken mechanical parts,40
4.2.4,1.2,Fatigued/worn/broken mechanical parts,40
